fileName,date,github_url,status,stars,language,lastCommitDate,latestVersion,lastReleaseDate,error
actiona.ts,2026-03-23,https://github.com/Jmgr/actiona,success,669,C++,2026-03-22T09:50:01Z,v3.11.1,2025-04-13T21:13:29Z,
activepieces.ts,2026-03-23,https://github.com/activepieces/activepieces,success,21376,TypeScript,2026-03-23T10:50:38Z,0.79.3,2026-03-12T14:08:22Z,
adopt-ai.ts,2026-03-23,,no_repo,,,,,,
agent-llm.ts,2026-03-23,https://github.com/Josh-XT/Agent-LLM,success,3166,Python,2026-03-21T19:41:24Z,v1.9.1,2026-03-09T13:31:37Z,
agent-protocol.ts,2026-03-23,https://github.com/AI-Engineers-Foundation/agent-protocol,success,1455,Python,2025-04-08T06:10:21Z,js-sdk-v1.0.5,2024-04-02T18:06:10Z,
agent-s.ts,2026-03-23,https://github.com/simular-ai/agent-s,success,10520,Python,2026-02-21T06:09:49Z,v0.3.2,2025-12-16T17:38:14Z,
agentevals.ts,2026-03-23,https://github.com/langchain-ai/agent-evals,success,15,Python,2024-12-04T16:03:34Z,,,
agentgpt.ts,2026-03-23,https://github.com/reworkd/AgentGPT,success,35871,TypeScript,2025-04-29T01:19:32Z,v.1.0.0,2023-11-02T00:14:25Z,
agently.ts,2026-03-23,https://github.com/Maplemx/Agently,success,1,Python,2026-03-19T00:31:20Z,,,
agents-thudm.ts,2026-03-23,,no_repo,,,,,,
agentscope.ts,2026-03-23,https://github.com/modelscope/agentscope,success,18712,Python,2026-03-23T08:08:56Z,v1.0.17,2026-03-13T08:27:32Z,
agentsflex.ts,2026-03-23,https://github.com/agents-flex/agents-flex,success,1335,Java,2026-03-18T06:29:36Z,v2.0.5,2026-03-18T06:30:28Z,
agenttuning.ts,2026-03-23,https://github.com/THUDM/AgentTuning,success,1484,Python,2023-10-31T15:34:43Z,,,
agentverse.ts,2026-03-23,https://github.com/openbmb/agentverse,success,4973,JavaScript,2024-09-09T05:47:44Z,v0.1.8.1,2023-10-27T14:18:53Z,
aider.ts,2026-03-23,https://github.com/paul-gauthier/aider,success,42277,Python,2026-03-17T01:21:34Z,v0.86.0,2025-08-09T17:42:19Z,
andi.ts,2026-03-23,,no_repo,,,,,,
anthropic-computer-use.ts,2026-03-23,,no_repo,,,,,,
anythingllm.ts,2026-03-23,https://github.com/Mintplex-Labs/anything-llm,success,56616,JavaScript,2026-03-21T04:02:30Z,v1.11.2,2026-03-18T16:57:50Z,
arc-search.ts,2026-03-23,,no_repo,,,,,,
arkclaw.ts,2026-03-23,,no_repo,,,,,,
askcodi.ts,2026-03-23,,no_repo,,,,,,
autogen-studio.ts,2026-03-23,https://github.com/microsoft/autogen,success,56059,Python,2026-03-21T10:57:12Z,python-v0.7.5,2025-09-30T06:18:26Z,
autogen.ts,2026-03-23,https://github.com/microsoft/autogen,success,56059,Python,2026-03-21T10:57:12Z,python-v0.7.5,2025-09-30T06:18:26Z,
autoglm.ts,2026-03-23,,no_repo,,,,,,
autogluon.ts,2026-03-23,https://github.com/autogluon/autogluon,success,10140,Python,2026-03-23T09:18:57Z,v1.5.0,2025-12-19T19:55:33Z,
autogpt.ts,2026-03-23,https://github.com/Significant-Gravitas/AutoGPT,success,182742,Python,2026-03-23T10:10:30Z,autogpt-platform-beta-v0.6.52,2026-03-20T04:00:40Z,
autohotkey.ts,2026-03-23,https://github.com/AutoHotkey/AutoHotkey,success,12114,C++,2026-03-22T11:10:25Z,v2.0.22,2026-03-21T21:34:03Z,
automation-anywhere.ts,2026-03-23,,no_repo,,,,,,
awesome-openclaw.ts,2026-03-23,https://github.com/SamurAIGPT/awesome-openclaw,success,817,,2026-03-23T09:30:29Z,,,
azureclaw.ts,2026-03-23,,no_repo,,,,,,
babyagi.ts,2026-03-23,https://github.com/yoheinakajima/babyagi,success,22206,Python,2026-01-31T05:05:45Z,,,
baichuanclaw.ts,2026-03-23,,no_repo,,,,,,
baidu-comate-agent.ts,2026-03-23,,no_repo,,,,,,
bardeen.ts,2026-03-23,,no_repo,,,,,,
bedrockclaw.ts,2026-03-23,,no_repo,,,,,,
bito.ts,2026-03-23,,no_repo,,,,,,
blue-prism.ts,2026-03-23,,no_repo,,,,,,
brave-leo.ts,2026-03-23,,no_repo,,,,,,
browseruse.ts,2026-03-23,https://github.com/gregpr07/browser-use,success,83132,Python,2026-03-22T21:21:40Z,0.12.3,2026-03-20T17:57:54Z,
camel.ts,2026-03-23,https://github.com/camel-ai/camel,success,16460,Python,2026-03-22T09:28:04Z,v0.2.90,2026-03-22T08:37:36Z,
character-ai.ts,2026-03-23,,no_repo,,,,,,
chatgpt.ts,2026-03-23,,no_repo,,,,,,
claude-ai.ts,2026-03-23,,no_repo,,,,,,
claw-dashboard.ts,2026-03-23,https://github.com/spleck/claw-dashboard,success,112,JavaScript,2026-03-16T09:47:07Z,,,
claw-monitor.ts,2026-03-23,https://github.com/DanWahlin/claw-monitor,success,68,TypeScript,2026-03-13T19:29:38Z,,,
claw0.ts,2026-03-23,https://github.com/shareAI-lab/claw0,success,1269,Python,2026-03-18T10:58:44Z,,,
clawai.ts,2026-03-23,,no_repo,,,,,,
clawapi.ts,2026-03-23,https://github.com/Gogo6969/clawapi,success,29,Swift,2026-03-11T00:59:35Z,v1.10.0,2026-03-11T00:50:41Z,
clawbot.ts,2026-03-23,https://github.com/xianyu110/clawbot,success,868,,2026-02-13T14:08:02Z,,,
clawbridge.ts,2026-03-23,https://github.com/dreamwing/clawbridge,success,208,JavaScript,2026-03-18T17:23:55Z,v1.2.3,2026-03-18T16:35:04Z,
clawcache.ts,2026-03-23,https://github.com/AbYousef739/clawcache-free,success,21,Python,2026-02-16T20:17:02Z,,,
